"","Close","stvol","ltvol","vol_rat","sma_rat","p2h","dh","dl","dhlsig","fwdret","Return","smasig","volsig","p2hsig","score","strat"
"3470",136.539993,0.00426225238440321,0.00631859288210955,0.674557209797666,1.05613024685329,0.98385930237685,138.779999,122.110001,1,0.0264433115542158,-0.00175468637048315,1,1,1,3,-0.00175468637048315
"3471",138.080002,0.0044279671213776,0.00635498408682751,0.696770764628004,1.05678317135404,0.994956067120306,138.779999,122.110001,1,0.0182297857039598,0.0112788126479544,1,1,1,3,0.0112788126479544
"3472",138.610001,0.00439318177074426,0.00635841231414343,0.690924330429503,1.05758446544559,0.998775054033543,138.779999,122.230003,1,0.0179079018289028,0.00383834727928245,1,1,1,3,0.00383834727928245
"3473",138.910004,0.00435356989441707,0.00635907427243521,0.684623218396515,1.05842131236771,1.00093677043477,138.910004,122.230003,1,0.0260720390058189,0.0021643676346268,1,1,1,3,0.0021643676346268
"3474",138.179993,0.0044270814900587,0.00635291376705105,0.69685842628928,1.05910657339795,0.99474471975395,138.910004,122.389999,1,0.0248619458287121,-0.00525528024605049,1,1,1,3,-0.00525528024605049
"3475",138.240005,0.00439776331565078,0.00635016841928215,0.692542783951535,1.05942983523938,0.995176740474358,138.910004,122.550003,1,0.0234633194490285,0.000434303104936529,1,1,1,3,0.000434303104936529
"3476",138.580002,0.00439947939659886,0.00635111733604729,0.692709512959013,1.05973123457639,0.99762434676771,138.910004,122.550003,1,0.0247589935339785,0.00245946895039539,1,1,1,3,0.00245946895039539
"3477",139.619995,0.00426426401908294,0.00636120189518791,0.67035508215967,1.06025581594974,1.00511115815676,139.619995,122.550003,1,0.0164332356529979,0.00750463981087246,1,1,1,3,0.00750463981087246
"3478",140.020004,0.00417586370675634,0.00636222221990416,0.656353010382472,1.06110394743799,1.00286498362931,140.020004,122.550003,1,0.0111217948648935,0.00286498362931487,1,1,1,3,0.00286498362931487
"3479",140.380005,0.00417600127506448,0.00633929610427684,0.658748417233124,1.06194170043797,1.00257106834535,140.380005,122.550003,1,0.0127372441406145,0.00257106834534881,1,1,1,3,0.00257106834534881
"3480",140.419998,0.00414840375882709,0.0063355348960373,0.654783507138726,1.06268535513984,1.00028489099997,140.419998,122.550003,1,0.0116049915896313,0.000284890999968201,1,1,1,3,0.000284890999968201
"3481",140.5,0.00409177218949006,0.00632893798220335,0.646517978371081,1.06345669946035,1.00056973366429,140.5,122.550003,1,0.00694395209136543,0.00056973366428914,1,1,1,3,0.00056973366428914
"3482",140.639999,0.00408866248049068,0.00632435244549615,0.646495038935156,1.06399664722637,1.0009964341637,140.639999,122.550003,1,-0.00120707226078735,0.000996434163700988,1,1,1,3,0.000996434163700988
